Make,Model,Model Year,Mileage,ADAS/ADS System Version,ADAS/ADS Hardware Version,ADAS/ADS Software Version,Roadway Type,Roadway Surface,Roadway Description,Lighting,weather,Highest Injury Severity Alleged
0,0,0,6527,0,0,0,0,0,0,0,0,3
1,1,1,83212,1,1,1,0,0,0,1,0,1
1,1,0,2573,1,1,1,1,0,0,1,0,1
1,1,1,137012,1,1,1,1,0,0,0,0,1
1,1,0,22225,1,1,1,1,0,0,1,0,1
1,1,1,104293,1,1,1,1,0,0,1,0,1
1,1,0,23613,1,1,1,1,0,0,1,2,1
1,1,0,34092,1,1,1,1,0,0,1,0,1
1,1,0,24657,1,1,1,1,0,0,0,0,1
1,1,0,2841,1,1,1,1,0,0,0,0,1
1,1,1,98868,1,1,1,1,0,0,0,2,1
1,1,1,51747,1,1,1,1,0,0,0,0,1
1,1,0,2154,1,1,1,0,0,0,1,0,1
1,1,0,9736,1,1,1,2,0,0,0,0,1
1,1,0,8966,1,1,1,1,0,0,0,0,1
1,1,0,14832,1,1,1,2,0,0,0,0,1
1,1,0,14358,1,1,1,0,0,0,1,0,1
1,1,1,107895,1,1,1,1,0,0,0,0,1
1,1,1,151685,1,1,1,1,0,0,0,0,1
1,1,1,90797,1,1,1,1,0,0,0,2,1
1,1,0,37010,1,1,1,0,0,0,0,0,1
1,1,0,22183,1,1,1,1,0,0,0,2,1
1,1,0,2972,1,1,1,1,0,0,0,0,1
1,1,1,28632,1,1,1,1,0,0,0,0,1
1,1,1,69410,1,1,1,1,0,0,0,0,1
1,1,0,28037,1,1,1,2,0,0,0,0,1
1,1,0,3738,1,1,1,1,0,0,1,0,1
1,1,1,169580,1,1,1,0,0,0,1,0,1
1,1,1,111454,1,1,1,1,0,0,0,2,1
1,1,0,22069,1,1,1,1,0,0,0,0,1
1,1,1,92528,1,1,1,1,0,0,1,0,1
1,1,0,7815,1,1,1,1,0,0,0,2,1
1,1,0,16788,1,1,1,1,0,0,2,2,1
1,1,0,69,1,1,1,1,0,0,0,0,1
2,2,2,44998,0,2,2,3,1,0,0,4,1
2,2,0,58078,0,2,2,3,0,0,0,2,1
2,2,0,76583,0,2,2,3,0,0,0,0,1
2,2,0,76583,0,2,2,3,0,0,0,0,1
2,2,2,44998,0,2,2,3,1,0,0,4,1
2,2,0,58078,0,2,2,3,0,0,0,2,1
1,1,0,531,1,1,1,1,0,0,1,0,1
0,3,0,6527,0,0,0,0,0,0,0,0,3
1,1,0,6205,1,1,1,1,0,0,0,0,1
1,1,0,14604,1,1,1,1,0,0,0,0,1
1,1,0,6495,1,1,1,0,0,0,0,0,1
1,1,0,18249,1,1,1,1,0,0,0,0,1
1,1,0,2573,1,1,1,1,0,0,1,0,1
1,1,0,1381,1,1,1,1,0,0,1,0,1
0,0,0,6527,0,0,0,0,0,0,0,0,3
0,0,0,,0,0,0,1,0,0,0,0,1
0,3,0,1770,0,0,0,1,0,0,0,0,1
0,3,0,6527,0,0,0,0,0,0,0,0,3
1,1,1,144676,1,1,1,1,0,1,0,2,1
1,1,0,16532,1,1,1,1,0,0,0,0,2
1,1,0,3227,1,1,1,1,0,0,1,0,1
1,1,0,6495,1,1,1,0,0,0,0,0,1
3,4,3,56823,2,3,3,1,0,0,1,0,1
1,1,1,160918,1,1,1,1,0,1,0,0,3
1,1,0,20049,1,1,1,1,0,1,0,2,1
1,1,1,160918,1,1,1,1,0,1,0,0,3
1,1,0,16532,1,1,1,1,0,0,0,0,2
1,1,0,16532,1,1,1,1,0,0,0,0,2
1,1,0,20049,1,1,1,1,0,1,0,2,1
1,1,1,90387,1,1,1,0,0,0,1,2,1
1,1,0,7345,1,1,1,1,0,0,1,0,1
1,1,0,25984,1,1,1,2,0,0,0,0,1
1,1,0,449,1,1,1,1,0,0,0,0,1
1,1,0,4329,1,1,1,1,0,0,0,2,1
1,1,0,9894,1,1,1,1,0,0,0,0,1
1,1,0,19267,1,1,1,1,0,0,1,0,1
1,1,0,18994,1,1,1,1,0,0,0,0,1
1,1,0,26111,1,1,1,2,0,0,0,0,1
1,1,0,1792,1,1,1,1,0,0,0,0,1
1,1,0,11567,1,1,1,1,0,0,0,0,1
1,1,0,11036,1,1,1,1,0,0,0,2,1
1,1,0,9670,1,1,1,1,0,0,1,2,1
1,1,0,8816,1,1,1,1,0,0,0,0,1
1,1,0,8190,1,1,1,1,0,0,0,0,1
1,1,0,11124,1,1,1,0,0,0,0,0,1
1,1,1,86073,1,1,1,0,0,0,0,0,1
1,1,0,9047,1,1,1,1,0,0,0,0,1
1,1,0,18992,1,1,1,1,0,0,0,0,1
3,4,4,27052,3,4,4,1,0,0,0,2,1
1,1,1,135319,1,1,1,2,0,0,0,0,1
1,1,1,91896,1,1,1,2,0,0,1,0,2
3,4,4,16733,4,5,5,1,0,0,0,0,1
3,4,4,68476,5,6,6,1,0,0,0,0,1
1,1,1,78170,1,1,1,2,0,0,1,0,1
1,1,1,138814,1,1,1,2,0,0,0,0,1
1,1,1,139899,1,1,1,1,0,0,0,0,1
1,1,1,160918,1,1,1,1,0,1,0,0,3
1,1,1,160918,1,1,1,1,0,1,0,0,3
1,1,1,88108,1,1,1,0,0,0,0,2,1
1,1,0,26823,1,1,1,2,0,0,0,0,1
3,5,5,11837,6,7,7,1,0,0,0,0,1
3,6,5,10326,6,7,7,1,0,0,0,0,1
1,1,1,85516,1,1,1,0,0,0,0,0,1
1,1,1,104307,1,1,1,0,0,0,0,2,1
1,1,0,431,1,1,1,1,0,0,3,0,1
3,4,4,31992,7,8,8,1,0,0,0,0,2
1,1,0,5287,1,1,1,0,0,0,0,0,1
1,1,1,94884,1,1,1,0,0,0,0,0,1
1,1,1,119981,1,1,1,2,0,0,0,0,1
1,1,1,119981,1,1,1,2,0,0,0,0,1
3,5,5,15976,6,7,7,1,0,0,0,0,1
1,1,1,73354,1,1,1,0,0,0,1,2,1
3,4,4,31992,7,8,8,1,0,0,0,0,2
1,1,0,5287,1,1,1,0,0,0,0,0,1
1,1,1,134631,1,1,1,1,0,0,1,0,2
1,1,1,94884,1,1,1,0,0,0,0,0,1
1,1,1,152712,1,1,1,0,0,0,1,0,1
1,1,0,164,1,1,1,3,0,0,0,2,2
1,1,1,128293,1,1,1,0,0,0,0,2,1
4,7,6,7394,0,0,0,2,0,0,0,0,1
1,1,0,5587,1,1,1,0,0,0,0,0,2
1,1,0,25710,1,1,1,2,0,0,0,0,1
1,1,0,3200,1,1,1,1,0,0,3,0,1
1,1,0,164,1,1,1,3,0,0,0,2,2
1,1,0,15703,1,1,1,0,0,0,0,0,1
1,1,0,6594,1,1,1,1,0,0,0,0,1
5,8,0,,8,2,2,0,0,2,2,6,1
1,1,0,16368,1,1,1,1,0,0,0,0,1
1,1,1,78153,1,1,1,1,0,0,1,0,1
1,1,0,1436,1,1,1,2,0,0,0,0,1
1,1,1,90236,1,1,1,0,0,0,1,0,1
1,1,1,85292,1,1,1,1,0,0,0,2,1
1,1,1,127908,1,1,1,0,0,0,0,2,1
1,1,1,85096,1,1,1,1,0,0,0,0,1
1,1,0,15644,1,1,1,1,0,0,0,0,1
1,1,1,71211,1,1,1,1,0,0,0,0,1
1,1,0,10618,1,1,1,1,0,0,0,2,1
1,1,1,79252,1,1,1,1,0,0,1,0,1
1,1,1,34062,1,1,1,1,0,0,0,0,1
1,1,1,128293,1,1,1,0,0,0,0,2,1
1,1,1,129577,1,1,1,1,0,0,0,0,1
6,9,7,,0,0,0,2,0,0,0,2,1
1,1,0,14415,1,1,1,0,0,0,1,0,1
1,1,1,122972,1,1,1,1,0,0,1,0,1
2,2,0,22595,0,2,2,3,0,0,3,6,1
7,10,4,25430,9,9,7,1,0,0,0,0,1
8,11,2,6808,8,2,2,1,0,0,2,0,3
9,12,6,24248,8,2,2,0,0,0,0,0,1
1,1,1,73354,1,1,1,0,0,0,1,2,1
2,2,0,22595,0,2,2,3,0,0,3,6,1
9,12,6,24248,0,2,2,0,0,0,0,0,1
8,11,2,6808,0,0,0,1,0,0,2,0,3
10,13,2,4247,0,0,0,1,0,0,0,0,1
1,1,0,17265,1,1,1,0,0,0,2,2,1
1,1,0,1283,1,1,1,0,0,0,1,0,1
1,1,1,136899,1,1,1,0,0,0,1,0,1
1,1,0,1283,1,1,1,0,0,0,1,0,1
1,1,1,105914,1,1,1,1,0,0,0,0,1
1,1,0,5004,1,1,1,1,0,0,1,0,1
3,14,5,13728,0,0,0,0,0,0,0,0,1
1,1,1,89544,1,1,1,0,0,0,0,0,1
1,1,0,277,1,1,1,3,0,0,3,0,1
1,1,0,164,1,1,1,3,0,0,0,2,1
1,1,0,12239,1,1,9,0,0,0,0,0,1
1,1,0,13931,1,1,1,0,0,0,1,0,3
1,1,0,748,1,1,1,1,0,0,1,2,1
1,1,1,,1,1,1,1,0,0,0,0,1
1,1,0,2619,1,1,1,1,0,0,1,0,1
1,1,0,3754,1,1,1,0,0,0,1,0,1
1,1,1,125840,1,1,1,2,0,0,0,0,1
1,1,0,5655,1,1,1,0,0,0,1,2,1
1,1,1,142222,1,1,1,1,0,0,0,0,1
1,1,1,81873,1,1,1,0,0,0,0,0,1
1,1,0,8640,1,1,1,2,0,0,0,2,1
1,1,1,71470,1,1,9,2,0,0,1,0,1
1,1,1,93214,1,1,1,2,0,0,0,0,1
1,1,0,6858,1,1,9,1,0,0,1,2,1
1,1,0,164,1,1,1,3,0,0,0,2,1
1,1,0,164,1,1,9,1,0,0,1,2,1
1,1,1,90575,1,1,9,1,0,0,0,2,1
1,1,1,129471,1,1,9,0,0,0,0,0,3
1,1,1,115012,1,1,9,1,0,0,1,0,1
1,1,0,9992,1,1,1,1,0,0,1,0,1
1,1,0,277,1,1,1,3,0,0,3,0,1
1,1,0,10931,1,1,9,2,0,0,0,0,1
1,1,1,2971,1,1,9,1,0,0,1,0,1
1,1,0,2215,1,1,9,1,0,0,0,0,1
